,Track_ID,Track_Title,Track_Artist,Track_Popularity,Track_URL,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acoutsicness,Instrumentalness,Liveness,Valence,Tempo
1,07VOlyshShGMYBPgjTIZoz,"""BOP""",CJ,45,https://p.scdn.co/mp3-preview/dee37f9fb2ab8bb5e27dfe325dda46ef0192e8ae?cid=1346ad7fd5d14060af96cc4eaf61e382,0.885,0.741,10,-7.967,1,0.381,0.357,0.0,0.342,0.603,139.144
2,2KkglYERoV6dGi9ME4iYsw,"""Filthy""",Ayron Jones,51,https://p.scdn.co/mp3-preview/2b5b17302290a6c670515e493a1e842266b2be25?cid=1346ad7fd5d14060af96cc4eaf61e382,0.483,0.744,9,-5.935,1,0.0598,1.85e-05,0.000482,0.279,0.328,122.061
3,2gC7erdFPRnp9ZQ3AXgfCv,#BEENBALLIN,Sheck Wes,43,https://p.scdn.co/mp3-preview/59813b0ee30d2eba9800007f6eccb16bbee49dcb?cid=1346ad7fd5d14060af96cc4eaf61e382,0.82,0.721,1,-5.868,1,0.0649,0.00421,0.0,0.112,0.137,124.083
4,0VtyqKSFeXrIVSbpxARxt4,'96 Bulls,Kota the Friend,52,https://p.scdn.co/mp3-preview/84e002ba6a24e22702f809c870dcf481d1584a13?cid=1346ad7fd5d14060af96cc4eaf61e382,0.726,0.412,0,-12.337,0,0.386,0.499,0.0,0.167,0.528,75.444
6,6rlqNxNTuK3elWsYjc4psh,'Round Midnight,Adam Blackstone,44,https://p.scdn.co/mp3-preview/59ae4140e700d4cf50686bf5aeba628a9c92e440?cid=1346ad7fd5d14060af96cc4eaf61e382,0.262,0.366,10,-10.254,0,0.0367,0.853,0.000657,0.175,0.181,78.949
7,55meeb1WffJW16DfMnWVi0,()vȯ)) ̷̨ʅ(۝ʅ(Ɵʅ():::()̵̳̗̊(Ɵʅ()vȯ)) ̷̨ʅ,⣎⡇ꉺლ༽இ•̛)ྀ◞ ༎ຶ ༽ৣৢ؞ৢ؞ؖ ꉺლ,50,https://p.scdn.co/mp3-preview/86ad7a2fe93effbe02379e9da26e3465d9ceed69?cid=1346ad7fd5d14060af96cc4eaf61e382,0.852,0.93,1,-7.02,1,0.209,0.0127,0.494,0.0573,0.236,129.028
9,22lJaG2yxlSjIwdUIddcFk,(L)only Child,salem ilese,44,https://p.scdn.co/mp3-preview/f23076742af15f97021765ca553092f011064445?cid=1346ad7fd5d14060af96cc4eaf61e382,0.645,0.611,8,-5.925,0,0.137,0.29,2.05e-05,0.237,0.645,157.475
10,7lC2H90qclM4JgyQz6H1ys,(N) INE,SSGKobe,40,https://p.scdn.co/mp3-preview/f1e27cb1a90d9fe894e20503054732cf1ada7f62?cid=1346ad7fd5d14060af96cc4eaf61e382,0.727,0.548,4,-9.619,0,0.37,0.0989,0.0,0.328,0.221,139.986
11,6QFCgioM2ZDxCEadWUes2b,"(Pick Me Up) Euphoria - From ""Euphoria"" An HBO Original Series",James Blake,50,https://p.scdn.co/mp3-preview/cc6d07e7f44ddbeecd1ef8580c39d0d7a3fa337c?cid=1346ad7fd5d14060af96cc4eaf61e382,0.41,0.249,7,-12.957,1,0.0649,0.783,0.0343,0.145,0.119,78.238
12,4DSG3Jl9MHt7EQRR9louzF,(Remember Me) I'm the One Who Loves You,Watkins Family Hour,27,https://p.scdn.co/mp3-preview/ed192d8075a54a0e439e8b0d6f741bebc3351b21?cid=1346ad7fd5d14060af96cc4eaf61e382,0.581,0.439,0,-8.645,1,0.0313,0.695,7.83e-05,0.262,0.721,122.752
13,5Cbo7oz78gqkzV3EAM63VA,+,Aitana,63,https://p.scdn.co/mp3-preview/5f44ae2309420628ad39e364a0e3031fe8324ad3?cid=1346ad7fd5d14060af96cc4eaf61e382,0.561,0.666,8,-4.243,1,0.0322,0.106,0.0,0.123,0.675,160.019
15,4E9FiSTNbDe7bPjwuKvhxc,001,Maude Latour,47,https://p.scdn.co/mp3-preview/96c7b97090a87b4763bee6673cf9e3dc2f3e7eb4?cid=1346ad7fd5d14060af96cc4eaf61e382,0.63,0.548,1,-6.46,1,0.0449,0.139,3.33e-06,0.0953,0.497,122.201
16,1i9NBzeGVYoNHwTsmL6mBL,0208,Jessie Ware,35,https://p.scdn.co/mp3-preview/379c8fe34deff6ed4eac935de99a138474a67699?cid=1346ad7fd5d14060af96cc4eaf61e382,0.393,0.367,6,-13.237,0,0.0935,0.758,0.000469,0.141,0.392,170.001
18,5Ik7UirBpurNrZ9KD9rSuH,1 AM,Wifisfuneral,46,https://p.scdn.co/mp3-preview/07f24433308c7cd0a07406f6c38d4853845472ca?cid=1346ad7fd5d14060af96cc4eaf61e382,0.6,0.374,8,-19.847,1,0.375,0.238,0.0,0.309,0.596,160.09
20,4wT73RSadEbuMbHTpALQyn,1 of 1,Sett,43,https://p.scdn.co/mp3-preview/0f949593a18b6452375db306fec4cfacde403cd6?cid=1346ad7fd5d14060af96cc4eaf61e382,0.795,0.624,0,-6.113,0,0.127,0.0114,0.0,0.11,0.245,138.072
21,5APTC8XAiHLn89cpgWqrWl,1 On 3 (feat. Rvssian),Fivio Foreign,69,https://p.scdn.co/mp3-preview/58ad5d15fb077355cbdaf7215899181afbbbd32d?cid=1346ad7fd5d14060af96cc4eaf61e382,0.783,0.853,11,-4.787,1,0.292,0.252,5.64e-06,0.0743,0.948,140.202
23,71Taskl2O73XfpQtJciJCD,1+1,Sia,60,https://p.scdn.co/mp3-preview/8ab1d1179bc4dd2c4f3c081057aa035445f99aaa?cid=1346ad7fd5d14060af96cc4eaf61e382,0.862,0.641,0,-4.109,1,0.0442,0.12,1.04e-05,0.336,0.674,109.998
24,1wYHNvK8jXzA4TASd5bTMU,"1,000,000 X Better",Griff,51,https://p.scdn.co/mp3-preview/6cd4c34309d02bfd0c94f299c944c051c55787e7?cid=1346ad7fd5d14060af96cc4eaf61e382,0.746,0.775,0,-7.871,1,0.122,0.629,0.000548,0.0622,0.594,120.009
26,5o1JjtIuYRXBoea4WBZGDc,10 Missed Calls (feat. Pharrell Williams & Jozzy),Black Coffee,33,https://p.scdn.co/mp3-preview/8d674f24b98ab7b530911a47a3c430996db437f8?cid=1346ad7fd5d14060af96cc4eaf61e382,0.679,0.449,3,-12.211,0,0.0491,0.303,0.0,0.302,0.333,107.965
27,3aXFgq1C1bwPCFQOgGPuPA,10 More Commandments (feat. Diddy),Benny The Butcher,46,https://p.scdn.co/mp3-preview/dfb250ddb491ad667b47c48b820e963915a79c6c?cid=1346ad7fd5d14060af96cc4eaf61e382,0.724,0.782,7,-8.761,1,0.416,0.37,3.32e-05,0.132,0.762,154.918
28,3a0P7wE7Gv3ztKND45C3jv,10 PM,Blessd,51,https://p.scdn.co/mp3-preview/c911ddb265b138d5703595fe4a41314db8964549?cid=1346ad7fd5d14060af96cc4eaf61e382,0.763,0.664,2,-2.92,0,0.0375,0.152,0.0,0.381,0.653,91.934
29,4U2GQlVHIerwX78jHpkOYN,10 Steps,Christian Leave,49,https://p.scdn.co/mp3-preview/f725a13e9326b4f80dcef3fef26ab21b938e628e?cid=1346ad7fd5d14060af96cc4eaf61e382,0.248,0.837,7,-6.534,1,0.0515,0.102,0.00214,0.338,0.66,122.878
30,5FKl1YJ1uIbJxmugKjJxxP,10 Things,Chloe Lilac,30,https://p.scdn.co/mp3-preview/7e7df8ef1f75dbb2c0b4b5b5964d0d578a3ed571?cid=1346ad7fd5d14060af96cc4eaf61e382,0.583,0.606,1,-5.897,0,0.0726,0.0838,1.97e-06,0.142,0.603,173.949
31,65x81o2eIyfQT6hpQkCKhj,100,SuperM,45,https://p.scdn.co/mp3-preview/d7f165823cd692a68b2118faacb5fc5128e60f07?cid=1346ad7fd5d14060af96cc4eaf61e382,0.692,0.859,7,-2.529,1,0.0461,0.0277,0.0,0.363,0.403,114.993
32,2zg04XrOXZLIZGjDo2Z9qH,100 Chicagos,Lupe Fiasco,32,https://p.scdn.co/mp3-preview/9f66d0fc4a82107ec571dfcdac220949b9d64fe8?cid=1346ad7fd5d14060af96cc4eaf61e382,0.58,0.596,1,-7.372,0,0.0613,0.608,4.77e-06,0.103,0.578,90.414
33,3CUpbtzoKSma5AnP7kLoEv,100 degrees,kenzie,60,https://p.scdn.co/mp3-preview/3f16bc53966e5afba5ea30b997c55811c22cdeb3?cid=1346ad7fd5d14060af96cc4eaf61e382,0.621,0.621,2,-8.57,1,0.0674,0.0571,0.000104,0.115,0.333,139.994
35,2xoAPLcvVx8TvVtny5a8a0,100 Headaches,ROSIE,35,https://p.scdn.co/mp3-preview/ee8b0480d859beea8749f14771af0238366d807c?cid=1346ad7fd5d14060af96cc4eaf61e382,0.467,0.347,1,-9.287,1,0.0667,0.779,2.21e-05,0.142,0.379,140.08
36,4Ixc50wY5pbUvNEogTQ2wL,100 MILLONES,Bad Bunny,66,https://p.scdn.co/mp3-preview/a3a23a1f1902a31ac72c017c0671c7590e0b9241?cid=1346ad7fd5d14060af96cc4eaf61e382,0.808,0.559,1,-6.936,1,0.452,0.133,6.57e-06,0.0966,0.48,169.103
37,21Oh0PHE9KQPXPUvXk7sY9,100 Preguntas,Ozuna,50,https://p.scdn.co/mp3-preview/2a04ed30073ea5c918ce9bc718a8459344ea3e35?cid=1346ad7fd5d14060af96cc4eaf61e382,0.768,0.462,5,-5.907,1,0.0369,0.689,0.0,0.114,0.605,104.008
38,0mUWV7sAT17gHP2g8cC7xV,100 Rounds,Tayler Holder,40,https://p.scdn.co/mp3-preview/48f75b2f51cd5511097e76203a3dce4b23af605c?cid=1346ad7fd5d14060af96cc4eaf61e382,0.556,0.57,1,-8.0,0,0.0598,0.261,0.0,0.113,0.529,66.062
39,1eto1iY3lVWyJhejV6Mi6J,100 Shots,NLE Choppa,48,https://p.scdn.co/mp3-preview/2d044f0bbe712da2421c4a555dd30a4c44ba6517?cid=1346ad7fd5d14060af96cc4eaf61e382,0.832,0.591,11,-7.665,1,0.408,0.154,2.75e-05,0.124,0.297,140.081
40,4mQMvcRtQou5yI8mjuJ1lf,100 Ways,Jackson Wang,64,https://p.scdn.co/mp3-preview/acc4469e7a092f357e917052859ff16f72b50a4b?cid=1346ad7fd5d14060af96cc4eaf61e382,0.801,0.783,7,-7.08,1,0.241,0.325,0.0,0.285,0.613,109.955
41,4FLqn6Xd6k2457u0juB7IC,1000 Miles From Georgia,Kidd G,45,https://p.scdn.co/mp3-preview/fc85641fc39a591bdce0a6d96d211605deeefd2d?cid=1346ad7fd5d14060af96cc4eaf61e382,0.459,0.771,8,-3.869,1,0.0402,0.533,0.0,0.084,0.362,169.649
42,1qtERWOl2VIHuH5AcTnYsW,1000 Nights (feat. Jorja Smith),Jaykae,44,https://p.scdn.co/mp3-preview/35a238c6a371b6732d8ab9d86fea43a9251f65da?cid=1346ad7fd5d14060af96cc4eaf61e382,0.659,0.684,8,-7.156,0,0.402,0.347,0.0,0.125,0.559,125.839
43,0nQMfKCZUHSYA2Qp98Q4m1,100GANG,Eva Shaw,22,https://p.scdn.co/mp3-preview/620d0dc111bf9278f5bef7f3981320968157e90f?cid=1346ad7fd5d14060af96cc4eaf61e382,0.906,0.816,2,-5.098,1,0.11,0.00832,0.0,0.0911,0.762,124.033
44,4wVuGccjXDNf9sWWVajkpk,100k On A Coupe (feat. Calboy),Pop Smoke,59,https://p.scdn.co/mp3-preview/0d254e17ea20b725746697da4a2f2fc23e6276ec?cid=1346ad7fd5d14060af96cc4eaf61e382,0.669,0.684,5,-3.544,0,0.0696,0.516,0.0,0.214,0.41,146.908
45,0rvcPanRR8rQO8lSIr0S4l,100sadsongs,Tai Verdes,52,https://p.scdn.co/mp3-preview/f576a41a70dcc533a98424ebceb8a23551f58e8e?cid=1346ad7fd5d14060af96cc4eaf61e382,0.647,0.767,2,-5.063,1,0.1,0.255,0.0,0.225,0.694,155.03
46,6BePGk3eCan4FqaW2X8Qy3,10:35,Tiësto,88,https://p.scdn.co/mp3-preview/0cbf21f94d9a02f3e67292b8d44c4643c6c27ab8?cid=1346ad7fd5d14060af96cc4eaf61e382,0.696,0.793,8,-5.733,1,0.097,0.0683,3.78e-06,0.18,0.698,120.003
47,3JWyvaawz14CRXLYBrZTmD,10ft Tall,Devin Kennedy,32,https://p.scdn.co/mp3-preview/60b9d67ab5105eea882ceffc5336814649727187?cid=1346ad7fd5d14060af96cc4eaf61e382,0.743,0.513,11,-9.405,1,0.196,0.191,8.35e-05,0.0864,0.471,92.001
49,4CfdeiALUjCNxJ44SHAES9,12 Problems,Rapsody,25,https://p.scdn.co/mp3-preview/91a6032ce94140bde12c67fb6c5aa07a43e0161f?cid=1346ad7fd5d14060af96cc4eaf61e382,0.583,0.93,7,-4.262,1,0.379,0.0268,1.56e-05,0.361,0.51,99.424
52,6p7ipZgHVyhZZpplPvgW6V,123,Sure Sure,38,https://p.scdn.co/mp3-preview/eada5f905b9dc79dd5809d575577f44008e63fdb?cid=1346ad7fd5d14060af96cc4eaf61e382,0.739,0.577,9,-8.03,0,0.0421,0.00122,0.428,0.147,0.605,126.946
55,6zgxB5Rmku4Ez6J9a0TVUo,12345SEX,UPSAHL,57,https://p.scdn.co/mp3-preview/70943fb5210fc3caf7e85b415a317e42f86da3e1?cid=1346ad7fd5d14060af96cc4eaf61e382,0.916,0.468,9,-6.928,0,0.0471,0.0885,8.14e-05,0.159,0.567,108.033
56,0HINQFSerZ6iMfSsaTO3G5,12x3,DEKKO,80,https://p.scdn.co/mp3-preview/0cdc59083f8ae97c49c066a88038c4a5c7cbb201?cid=1346ad7fd5d14060af96cc4eaf61e382,0.869,0.727,2,-4.956,1,0.121,0.00118,6.97e-05,0.183,0.613,93.989
57,7picgLYkMQb9UgIjq84NNF,13 Going On 30,Fivio Foreign,45,https://p.scdn.co/mp3-preview/4ef492a822b97f42c711cffb44f5e27bd46040ec?cid=1346ad7fd5d14060af96cc4eaf61e382,0.757,0.802,3,-4.463,0,0.281,0.0575,3.13e-05,0.256,0.582,126.901
58,6KVFBsfbnaFFa43i4k0cce,13 Missed Calls,Zach Hood,63,https://p.scdn.co/mp3-preview/365773bf78e9c5beb140aa5bbcff61f18704890c?cid=1346ad7fd5d14060af96cc4eaf61e382,0.639,0.724,7,-6.346,1,0.0664,0.452,0.0,0.159,0.522,129.712
59,3kCYnvSwhSzYBD7fnDFhbY,14,Clinton Kane,55,https://p.scdn.co/mp3-preview/ac3ffc49c40f4094623aa97d348af60bdfa07c1e?cid=1346ad7fd5d14060af96cc4eaf61e382,0.402,0.634,2,-5.808,1,0.364,0.707,0.0,0.387,0.705,68.877
60,5v5XNuAVIX0okuJa5iG9Ko,14 Texts,Shoffy,19,https://p.scdn.co/mp3-preview/154ce4c439b9b2f917f246383ee3bac91a85d2cb?cid=1346ad7fd5d14060af96cc4eaf61e382,0.911,0.572,10,-7.028,1,0.173,0.268,0.0,0.0818,0.527,88.981
61,5nx28cE13vK0gko3qjPkQK,143,Josh Golden,38,https://p.scdn.co/mp3-preview/ab295d189350fe078c612fcb7c5cc70b1e7e7110?cid=1346ad7fd5d14060af96cc4eaf61e382,0.652,0.713,6,-8.331,0,0.105,0.413,0.0048,0.265,0.692,156.031
65,034KyQEk7IhbLtniVhBErj,17,Pink Sweat$,63,https://p.scdn.co/mp3-preview/e022db743fbe8ecd4b9e4509c6643d87f7a6f55e?cid=1346ad7fd5d14060af96cc4eaf61e382,0.558,0.364,5,-8.663,1,0.0502,0.169,9.94e-05,0.109,0.252,129.17
66,2JJq0TAA9I1wM1fuKIi1OE,17 anymore,marcos g,16,https://p.scdn.co/mp3-preview/35c559d0b42e011f83cc176453ba1064782456fd?cid=1346ad7fd5d14060af96cc4eaf61e382,0.76,0.755,4,-5.487,1,0.0341,0.164,4.11e-06,0.14,0.618,105.072
67,4dO4oVzvRrRRsJgaT4ORlM,17again,Powfu,40,https://p.scdn.co/mp3-preview/2fa5b7f353f16d725bc30c47c7a36ff282b1f83f?cid=1346ad7fd5d14060af96cc4eaf61e382,0.409,0.504,7,-5.62,1,0.0448,0.76,0.0,0.344,0.499,169.244
68,54F792TiwJOWmTJpbUqbXu,18,Anson Seabra,57,https://p.scdn.co/mp3-preview/d20dd5da5f73cd67dd78063ac7034079eb2dcd7c?cid=1346ad7fd5d14060af96cc4eaf61e382,0.649,0.46,5,-10.374,1,0.0497,0.335,2.44e-06,0.145,0.435,129.872
69,2UiAhExxpMfBODuhZITng7,18,Jennifer Hart,23,https://p.scdn.co/mp3-preview/3cbf737344be9ac7bf2a5fc47b77d0ac97cbf1da?cid=1346ad7fd5d14060af96cc4eaf61e382,0.368,0.533,2,-6.432,1,0.0308,0.0668,0.0,0.0821,0.447,81.806
72,62UTBl5LVd6HOCFvT57Axt,18 & Over,Nia Archives,48,https://p.scdn.co/mp3-preview/bb963fb9f0883df91439809adf69fb8f1e0e6d6c?cid=1346ad7fd5d14060af96cc4eaf61e382,0.552,0.911,2,-7.305,1,0.0778,0.00498,0.421,0.0739,0.487,165.953
75,0OG1XZqBMSZNuKoNx1NEgu,19,DavidTheTragic,21,https://p.scdn.co/mp3-preview/a541f82747f032873f90039004c9c032cc420add?cid=1346ad7fd5d14060af96cc4eaf61e382,0.695,0.502,5,-8.866,1,0.329,0.107,6.16e-06,0.183,0.547,120.005
78,2FdzIRCqzjhdxP5W99FSvS,1985,Bo Burnham,66,https://p.scdn.co/mp3-preview/4550c1d23665717dc0e0f6f37ef19b5820a7f293?cid=1346ad7fd5d14060af96cc4eaf61e382,0.646,0.724,4,-7.466,0,0.0475,0.0432,0.0,0.333,0.894,155.85
80,42kWSGSJu0tXXt3e2Guvsm,1994,Cavetown,56,https://p.scdn.co/mp3-preview/76ba40f5de160b80e8f6a4d3c9b3b17e046fdec8?cid=1346ad7fd5d14060af96cc4eaf61e382,0.425,0.64,7,-8.031,1,0.0349,0.09,0.00123,0.0914,0.394,124.826
81,5KFqBLIITjlM6fhYhBnBzC,1995,Juicy J,49,https://p.scdn.co/mp3-preview/4b0980c7b4194bc9b5771aaa42cea47a65311633?cid=1346ad7fd5d14060af96cc4eaf61e382,0.661,0.799,0,-6.156,1,0.33,0.0452,0.0,0.317,0.56,159.811
82,7dmcTMq4saNeKIBmG3m6Tq,1:45AM (feat. Bearface),No Rome,44,https://p.scdn.co/mp3-preview/5016f90e032c7e4fac3dfcbb45085813fe76d5e0?cid=1346ad7fd5d14060af96cc4eaf61e382,0.645,0.711,9,-7.481,1,0.0353,0.00356,0.0253,0.156,0.557,135.026
84,4udjo5nLK61pKajakfrndc,1st Time,Bakar,62,https://p.scdn.co/mp3-preview/d827fdaa8bfcfb3a4851dba35e88d613ced5d508?cid=1346ad7fd5d14060af96cc4eaf61e382,0.801,0.718,2,-7.357,1,0.0421,0.0932,0.0331,0.186,0.758,122.994
85,1afXT2ntjBUlydAFZ3db66,1x1,Galantis,64,https://p.scdn.co/mp3-preview/5750eaace8cc4ceeff6cf501be3d46fc42004bc6?cid=1346ad7fd5d14060af96cc4eaf61e382,0.887,0.863,2,-4.2,1,0.0697,0.0176,0.0594,0.288,0.517,120.028
86,6sIbv1oWOuma2qV907MUbk,1x1 (feat. Nova Twins),Bring Me The Horizon,68,https://p.scdn.co/mp3-preview/1ac5aa61319b30e23199d137dc6eea05075a6902?cid=1346ad7fd5d14060af96cc4eaf61e382,0.452,0.937,1,-3.346,0,0.161,0.000209,3.61e-06,0.606,0.604,164.032
87,2rmwqU7yzTvzkiaRV53DpT,2 Be Loved (Am I Ready),Lizzo,81,https://p.scdn.co/mp3-preview/2c2916c7dc6d76b63d63fa0bfce88398099d2eca?cid=1346ad7fd5d14060af96cc4eaf61e382,0.721,0.769,7,-4.111,1,0.105,0.0922,0.0,0.0817,0.915,155.932
89,444UIyq10heFY8SPc3CCD9,2 Cents,IDK,37,https://p.scdn.co/mp3-preview/d3cc6413210bcffff94f66969acb9cf7364dcea7?cid=1346ad7fd5d14060af96cc4eaf61e382,0.844,0.508,1,-7.53,1,0.282,0.00749,0.0,0.156,0.403,120.054
90,6WoTtW8IOKd6EauCkALxR7,2 Chains,Headie One,46,https://p.scdn.co/mp3-preview/a7ca9cc8a2ec7d53112de22df460b58b22a03f58?cid=1346ad7fd5d14060af96cc4eaf61e382,0.77,0.656,1,-5.541,1,0.274,0.288,0.0,0.202,0.84,148.018
91,3QK2bbLCTGoFXFt64e5TBY,2 Die 4,Tove Lo,71,https://p.scdn.co/mp3-preview/a8d3cb0caa7a5d3059d1e8e3276975870855075b?cid=1346ad7fd5d14060af96cc4eaf61e382,0.816,0.8,10,-5.705,0,0.0733,0.0283,6.03e-05,0.129,0.534,118.014
93,0bZoGGitOSSriBDfjT5g5J,2 Freaks (feat. Snoop Dogg),Sada Baby,34,https://p.scdn.co/mp3-preview/ac20de3e202816e91d84c23f3a258553c8b40349?cid=1346ad7fd5d14060af96cc4eaf61e382,0.877,0.863,10,-4.107,0,0.272,0.0505,0.0,0.176,0.733,94.288
94,0EdgK7ASb4kfRkW8pVMN02,2 Hearts (feat. Gia Koka),Sam Feldt,59,https://p.scdn.co/mp3-preview/d445d9def4e4a43a3425362415aa323f957a602f?cid=1346ad7fd5d14060af96cc4eaf61e382,0.503,0.754,7,-3.634,1,0.0424,0.264,5.85e-05,0.297,0.597,116.524
96,4ikCfMxkMfMosMTeZxt78I,2 In A Million,Steve Aoki,9,https://p.scdn.co/mp3-preview/9712d9378f404c16e289207d1bbdaee2d1420996?cid=1346ad7fd5d14060af96cc4eaf61e382,0.629,0.866,8,-4.469,0,0.0732,0.00903,1.6e-06,0.245,0.353,95.961
97,2NVXBBbO4xGO851zrMfCFi,2 Mins of Pain (feat. Alborosie),Sleepy Hallow,69,https://p.scdn.co/mp3-preview/ef0321b65a77f140e1cf081b7721b35762026707?cid=1346ad7fd5d14060af96cc4eaf61e382,0.886,0.434,11,-12.106,0,0.403,0.101,1.22e-06,0.297,0.785,147.995
99,72Kc3s9sqNDruvVBYgRSVd,2 MUCH (feat. Jasiah & KA$HDAMI),Whethan,36,https://p.scdn.co/mp3-preview/8f658de2c67545f846a2a90b9d9d9925b1ca4476?cid=1346ad7fd5d14060af96cc4eaf61e382,0.567,0.738,0,-7.194,1,0.0546,0.0905,0.0,0.479,0.678,159.941
100,2JzX9cvgywUC1hDfoMGYRK,2 Sauce,Sleepy Hallow,46,https://p.scdn.co/mp3-preview/14da13b7f384ae7d2f8b22517b04af92afe3c61a?cid=1346ad7fd5d14060af96cc4eaf61e382,0.853,0.576,10,-6.264,0,0.173,0.739,0.0,0.109,0.692,139.999
102,57lEOoQ3Szzy1xbF89JBWR,2 Seater (feat. G-Eazy & Offset),YBN Nahmir,51,https://p.scdn.co/mp3-preview/a8a1a09a35cb7922026a8e47f6318da35d0d75fc?cid=1346ad7fd5d14060af96cc4eaf61e382,0.972,0.691,11,-4.288,1,0.0798,0.00132,6.18e-06,0.115,0.637,125.03
103,31utIsi83TdTRNLxvDHZTU,2 seater (feat. Smino),Tiana Major9,40,https://p.scdn.co/mp3-preview/2a95fc89d20e36895379bdccf70d915f01a7bd26?cid=1346ad7fd5d14060af96cc4eaf61e382,0.644,0.653,5,-7.865,0,0.224,0.0627,0.0,0.114,0.425,84.822
104,4FO8Tg6i1wLU0DRO3gwuJL,2 Step - From the new “House Party” Original Motion Picture Soundtrack,2 Chainz,56,https://p.scdn.co/mp3-preview/9b860af821af3ec65d5267f964d3339f5ccd895e?cid=1346ad7fd5d14060af96cc4eaf61e382,0.886,0.77,1,-6.369,1,0.273,0.132,0.0,0.0587,0.68,105.138
105,1DA2ADZs6O28y2rmdmpekw,2 Sugar (feat. Ayra Starr),Wizkid,76,https://p.scdn.co/mp3-preview/15ae20df7955c8ee5fdbe6a64101e62601fbf08b?cid=1346ad7fd5d14060af96cc4eaf61e382,0.914,0.643,6,-3.862,0,0.134,0.0498,0.0,0.0618,0.764,105.033
106,1Juo9g0Rjxo6fxOmr8N3wV,2 Times,MASN,35,https://p.scdn.co/mp3-preview/20919b980908601893f16d04570a068cf39e93c2?cid=1346ad7fd5d14060af96cc4eaf61e382,0.593,0.746,8,-6.483,1,0.0674,0.321,0.0,0.0684,0.413,159.955
107,0OEKGHJFPl3qI3BMsyqhzc,2 You,Mariah the Scientist,47,https://p.scdn.co/mp3-preview/27635e573deb6262bda6022989218d2bad73b0df?cid=1346ad7fd5d14060af96cc4eaf61e382,0.436,0.505,8,-9.963,1,0.0428,0.318,6.96e-06,0.12,0.391,124.855
108,4fV8zuE5GmRCjzl8b3JUgg,2%,Jenna Raine,56,https://p.scdn.co/mp3-preview/5f68bcf74ec6725d9f6ed2e1677835c795af18cd?cid=1346ad7fd5d14060af96cc4eaf61e382,0.648,0.54,2,-5.338,1,0.0318,0.339,0.0,0.0661,0.358,106.08
110,4Hqh0dS4x07zuRw6eBTO7p,20/20,Lil Tjay,64,https://p.scdn.co/mp3-preview/9b879a680f3f2b30b1611013cb6a7db53cf8928c?cid=1346ad7fd5d14060af96cc4eaf61e382,0.886,0.336,4,-12.779,1,0.239,0.557,0.0,0.0933,0.536,100.044
111,6FtfZdMiuUX3CdGMhAZmlJ,2001,Foals,51,https://p.scdn.co/mp3-preview/b5b4847e75aa537f3d52090e8777c6939ad393d3?cid=1346ad7fd5d14060af96cc4eaf61e382,0.684,0.813,0,-4.562,1,0.0442,0.00836,0.0392,0.0634,0.79,123.038
112,5kUgMxXcpAdsnKumXs4J5Z,2010,Earl Sweatshirt,45,https://p.scdn.co/mp3-preview/d6d33e1a5246b8a80444604d8e232fcdab187924?cid=1346ad7fd5d14060af96cc4eaf61e382,0.831,0.764,7,-6.327,0,0.386,0.314,1.72e-06,0.227,0.543,105.487
113,6XHBJ1LSOcVINYXAAd6KIH,2010,Mora,69,https://p.scdn.co/mp3-preview/f9d589c2cf0afbcea589fc3007eb0689cff92077?cid=1346ad7fd5d14060af96cc4eaf61e382,0.755,0.698,10,-5.554,1,0.106,0.14,0.0,0.12,0.678,176.022
114,5GzpstdtupjJcu0JR5j3v6,2011,5 Seconds of Summer,59,https://p.scdn.co/mp3-preview/7a0cf07b1261dbe0a6bb0748606a72a040fdd48d?cid=1346ad7fd5d14060af96cc4eaf61e382,0.571,0.839,9,-5.49,0,0.0558,0.0244,0.0,0.268,0.436,156.887
115,5ehN5A3B3lDwmFCYO63Wk6,2016,Sam Hunt,54,https://p.scdn.co/mp3-preview/0af57b7caa17ed8b6c856f0e7cfa905bfdaf28c3?cid=1346ad7fd5d14060af96cc4eaf61e382,0.52,0.384,6,-8.168,1,0.0362,0.596,0.0,0.103,0.328,149.536
116,0ktUOmqwFOpdPqqGMnmHqm,2020,Great Good Fine Ok,25,https://p.scdn.co/mp3-preview/51ce7e0e4378daa33bbbb7d3e3266a27f47bed04?cid=1346ad7fd5d14060af96cc4eaf61e382,0.643,0.613,10,-6.297,0,0.0853,0.334,2.54e-05,0.144,0.52,153.853
119,1DbAHtgCbgMFGir1m8YxVB,2020 Vision,DJ Drewski,46,https://p.scdn.co/mp3-preview/86900ee13b70ac1d61d8200ca46ef0d01c0a6bc1?cid=1346ad7fd5d14060af96cc4eaf61e382,0.804,0.761,10,-4.237,1,0.164,0.143,0.0,0.198,0.806,94.034
121,1M3BSKyQp8MFJvWOgxDkKk,2021,Slater Davis,11,https://p.scdn.co/mp3-preview/c79ac528eefbc0b82189858cf067cc0f9ff0ff21?cid=1346ad7fd5d14060af96cc4eaf61e382,0.596,0.604,8,-6.233,1,0.0733,0.0682,0.0,0.0691,0.737,166.127
123,0mG6igzxbH55XRyq3ygEh8,2055,Sleepy Hallow,72,https://p.scdn.co/mp3-preview/346b4c19f27e54c33865dae09c1a46a286bbf642?cid=1346ad7fd5d14060af96cc4eaf61e382,0.775,0.518,6,-5.857,0,0.311,0.455,0.0,0.121,0.646,161.011
